Code,Type,Description
100,O,(Zugang)
102,O,(Zugang geplant)
104,O,(Zugang manuell)
108,O,(Zugang Kennzeichen)
110,O,(Zugang Kennzeichen manuell)
200,A,(Abgang)
202,A,(Abgang reserviert)
204,A,(Abgang manuell)
210,A,(Abgang Kennzeichen manuell)
300,L,(Lager an Lager)
328,L,(Lager an Lager manuell)
402,A,(Minusbestand durch Zugang aufgelost)
408,A,(Mengenauflossung reserv./geplant)
414,A,(Bestandskorrektur durch Leermeldung)
422,M,(Bestandskorrektur durch Leermeldung man.)
900,A,(automatische Gebindeauflosung)
902,M,(Lagerbelegung loschen manuell)
Voorraadcorrectie,V,0
