,Location,Description
0,NL-01-L07.8-001-001-013-002-001-001,Liquid WH VAT
1,NL-01-L07.8-001-001-012-004-001-021,Liquid V04 - 021
2,NL-01-L07.8-001-001-013-002-001-001,Liquid WH VAT
3,NL-01-L07.8-001-001-013-002-001-001,Liquid WH VAT
4,NL-01-L07.8-001-001-013-002-001-001,Liquid WH VAT
5,NL-01-L07.8-001-001-013-002-001-001,Liquid WH VAT
6,NL-01-L07.8-001-001-013-002-001-001,Liquid WH VAT
7,NL-01-L07.8-001-001-013-002-001-001,Liquid WH VAT
8,NL-01-L07.8-001-001-013-002-001-001,Liquid WH VAT
9,NL-01-L07.8-001-001-013-002-001-001,Liquid WH VAT
10,NL-01-L07.8-001-001-013-002-001-001,Liquid WH VAT
11,NL-01-L07.8-001-001-013-002-001-001,Liquid WH VAT
12,NL-01-L07.8-001-001-013-002-001-001,Liquid WH VAT
13,NL-01-L07.8-001-001-013-002-001-001,Liquid WH VAT
14,NL-01-L07.8-001-001-013-002-001-001,Liquid WH VAT
15,NL-01-L07.8-001-001-013-002-001-001,Liquid WH VAT
16,NL-01-L07.8-001-001-013-002-001-001,Liquid WH VAT
17,NL-01-L07.8-001-001-013-002-001-001,Liquid WH VAT
18,NL-01-L07.8-001-001-013-002-001-001,Liquid WH VAT
19,NL-01-L07.8-001-001-013-002-001-001,Liquid WH VAT
20,NL-01-L07.8-001-001-013-002-001-001,Liquid WH VAT
21,NL-01-L07.8-001-001-013-002-001-001,Liquid WH VAT
22,NL-01-L07.8-001-001-013-002-001-001,Liquid WH VAT
23,NL-01-L07.8-001-001-013-002-001-001,Liquid WH VAT
24,NL-01-L07.8-001-001-013-002-001-001,Liquid WH VAT
25,NL-01-L07.8-001-001-013-002-001-001,Liquid WH VAT
26,NL-01-L07.8-001-001-013-002-001-001,Liquid WH VAT
27,NL-01-L07.8-001-001-013-002-001-001,Liquid WH VAT
28,NL-01-L07.8-001-001-013-002-001-001,Liquid WH VAT
29,NL-01-L07.8-001-001-013-002-001-001,Liquid WH VAT
30,NL-01-L07.8-001-001-013-002-001-001,Liquid WH VAT
31,NL-01-L07.8-001-001-013-002-001-001,Liquid WH VAT
32,NL-01-L07.8-001-001-013-002-001-001,Liquid WH VAT
33,NL-01-L07.8-001-001-013-002-001-001,Liquid WH VAT
34,NL-01-L07.8-001-001-013-002-001-001,Liquid WH VAT
35,NL-01-L07.8-001-001-013-002-001-001,Liquid WH VAT
